Pixel,Wavelength,Wavenumber,Processed
22,801.19,257.72,1647
23,801.46,261.87,1685
24,801.73,266.01,1663
25,801.99,270.16,1691
26,802.26,274.3,1727
27,802.52,278.44,1725
28,802.79,282.58,1746
29,803.06,286.72,1759
30,803.33,290.85,1752
31,803.59,294.99,1754
32,803.86,299.12,1763
33,804.13,303.25,1792
34,804.39,307.37,1790
35,804.66,311.5,1803
36,804.93,315.63,1809
37,805.19,319.75,1795
38,805.46,323.87,1809
39,805.73,327.99,1830
40,806,332.11,1856
41,806.26,336.22,1875
42,806.53,340.34,1864
43,806.8,344.45,1871
44,807.07,348.56,1869
45,807.33,352.67,1864
46,807.6,356.77,1898
47,807.87,360.88,1909
48,808.14,364.98,1915
49,808.41,369.08,1896
50,808.67,373.18,1926
51,808.94,377.28,1938
52,809.21,381.37,1942
53,809.48,385.47,1942
54,809.75,389.56,1945
55,810.01,393.65,1972
56,810.28,397.74,1955
57,810.55,401.82,1970
58,810.82,405.91,1976
59,811.09,409.99,2004
60,811.36,414.07,2002
61,811.62,418.15,2006
62,811.89,422.23,2000
63,812.16,426.3,2014
64,812.43,430.37,2025
65,812.7,434.45,2000
66,812.97,438.51,2029
67,813.24,442.58,2000
68,813.51,446.65,2002
69,813.78,450.71,2008
70,814.04,454.77,1976
71,814.31,458.83,1993
72,814.58,462.89,1970
73,814.85,466.95,1970
74,815.12,471,1959
75,815.39,475.05,1970
76,815.66,479.1,1995
77,815.93,483.15,1987
78,816.2,487.2,1981
79,816.47,491.24,1978
80,816.74,495.28,1934
81,817.01,499.32,1894
82,817.28,503.36,1862
83,817.55,507.4,1828
84,817.82,511.43,1778
85,818.09,515.47,1752
86,818.36,519.5,1750
87,818.63,523.52,1710
88,818.9,527.55,1706
89,819.17,531.58,1687
90,819.44,535.6,1663
91,819.71,539.62,1674
92,819.98,543.64,1670
93,820.25,547.66,1653
94,820.52,551.67,1682
95,820.79,555.68,1668
96,821.06,559.69,1661
97,821.33,563.7,1653
98,821.6,567.71,1642
99,821.87,571.71,1649
100,822.14,575.72,1644
101,822.41,579.72,1663
102,822.68,583.72,1628
103,822.95,587.71,1640
104,823.22,591.71,1644
105,823.49,595.7,1664
106,823.76,599.69,1657
107,824.03,603.68,1661
108,824.3,607.67,1664
109,824.57,611.65,1645
110,824.85,615.63,1655
111,825.12,619.61,1653
112,825.39,623.59,1640
113,825.66,627.57,1644
114,825.93,631.54,1634
115,826.2,635.52,1632
116,826.47,639.49,1630
117,826.74,643.45,1636
118,827.01,647.42,1651
119,827.29,651.38,1644
120,827.56,655.35,1634
121,827.83,659.31,1640
122,828.1,663.26,1640
123,828.37,667.22,1649
124,828.64,671.17,1649
125,828.91,675.13,1651
126,829.18,679.08,1645
127,829.46,683.02,1644
128,829.73,686.97,1655
129,830,690.91,1638
130,830.27,694.85,1640
131,830.54,698.79,1634
132,830.81,702.73,1640
133,831.09,706.66,1634
134,831.36,710.6,1649
135,831.63,714.53,1623
136,831.9,718.46,1642
137,832.17,722.38,1630
138,832.45,726.31,1644
139,832.72,730.23,1634
140,832.99,734.15,1640
141,833.26,738.07,1642
142,833.53,741.99,1661
143,833.8,745.9,1661
144,834.08,749.81,1632
145,834.35,753.72,1674
146,834.62,757.63,1649
147,834.89,761.53,1647
148,835.17,765.44,1657
149,835.44,769.34,1676
150,835.71,773.24,1683
151,835.98,777.13,1687
152,836.25,781.03,1710
153,836.53,784.92,1701
154,836.8,788.81,1708
155,837.07,792.7,1710
156,837.34,796.59,1716
157,837.62,800.47,1716
158,837.89,804.35,1738
159,838.16,808.23,1708
160,838.43,812.11,1716
161,838.71,815.98,1731
162,838.98,819.86,1714
163,839.25,823.73,1725
164,839.52,827.6,1697
165,839.8,831.46,1706
166,840.07,835.33,1701
167,840.34,839.19,1701
168,840.61,843.05,1670
169,840.89,846.91,1666
170,841.16,850.76,1659
171,841.43,854.62,1649
172,841.71,858.47,1666
173,841.98,862.32,1642
174,842.25,866.17,1657
175,842.52,870.01,1647
176,842.8,873.85,1657
177,843.07,877.69,1634
178,843.34,881.53,1651
179,843.62,885.37,1651
180,843.89,889.2,1647
181,844.16,893.03,1636
182,844.43,896.86,1632
183,844.71,900.69,1642
184,844.98,904.52,1638
185,845.25,908.34,1657
186,845.53,912.16,1644
187,845.8,915.98,1645
188,846.07,919.79,1649
189,846.35,923.61,1642
190,846.62,927.42,1655
191,846.89,931.23,1644
192,847.16,935.04,1647
193,847.44,938.84,1649
194,847.71,942.64,1651
195,847.98,946.45,1653
196,848.26,950.24,1657
197,848.53,954.04,1661
198,848.8,957.83,1649
199,849.08,961.63,1651
200,849.35,965.41,1628
201,849.62,969.2,1657
202,849.9,972.99,1649
203,850.17,976.77,1670
204,850.44,980.55,1653
205,850.72,984.33,1647
206,850.99,988.1,1640
207,851.26,991.88,1663
208,851.54,995.65,1661
209,851.81,999.42,1663
210,852.08,1003.19,1657
211,852.36,1006.95,1680
212,852.63,1010.71,1685
213,852.9,1014.47,1670
214,853.18,1018.23,1661
215,853.45,1021.99,1666
216,853.73,1025.74,1664
217,854,1029.49,1659
218,854.27,1033.24,1668
219,854.55,1036.99,1655
220,854.82,1040.73,1668
221,855.09,1044.47,1670
222,855.37,1048.21,1687
223,855.64,1051.95,1699
224,855.91,1055.69,1702
225,856.19,1059.42,1704
226,856.46,1063.15,1704
227,856.73,1066.88,1733
228,857.01,1070.6,1704
229,857.28,1074.33,1693
230,857.55,1078.05,1683
231,857.83,1081.77,1704
232,858.1,1085.49,1712
233,858.38,1089.2,1699
234,858.65,1092.91,1693
235,858.92,1096.62,1674
236,859.2,1100.33,1695
237,859.47,1104.04,1680
238,859.74,1107.74,1691
239,860.02,1111.44,1691
240,860.29,1115.14,1699
241,860.56,1118.84,1695
242,860.84,1122.53,1691
243,861.11,1126.22,1687
244,861.39,1129.91,1683
245,861.66,1133.6,1693
246,861.93,1137.28,1704
247,862.21,1140.97,1680
248,862.48,1144.65,1701
249,862.75,1148.32,1676
250,863.03,1152,1691
251,863.3,1155.67,1687
252,863.58,1159.34,1704
253,863.85,1163.01,1693
254,864.12,1166.68,1721
255,864.4,1170.34,1701
256,864.67,1174.01,1727
257,864.94,1177.66,1723
258,865.22,1181.32,1710
259,865.49,1184.98,1735
260,865.76,1188.63,1725
261,866.04,1192.28,1738
262,866.31,1195.93,1731
263,866.59,1199.57,1708
264,866.86,1203.22,1714
265,867.13,1206.86,1727
266,867.41,1210.49,1721
267,867.68,1214.13,1708
268,867.95,1217.76,1716
269,868.23,1221.4,1721
270,868.5,1225.03,1714
271,868.77,1228.65,1706
272,869.05,1232.28,1735
273,869.32,1235.9,1748
274,869.6,1239.52,1733
275,869.87,1243.14,1710
276,870.14,1246.75,1729
277,870.42,1250.36,1733
278,870.69,1253.97,1719
279,870.96,1257.58,1727
280,871.24,1261.19,1729
281,871.51,1264.79,1714
282,871.78,1268.39,1701
283,872.06,1271.99,1712
284,872.33,1275.59,1718
285,872.61,1279.18,1729
286,872.88,1282.77,1712
287,873.15,1286.36,1727
288,873.43,1289.95,1738
289,873.7,1293.53,1723
290,873.97,1297.12,1757
291,874.25,1300.7,1733
292,874.52,1304.27,1733
293,874.79,1307.85,1723
294,875.07,1311.42,1729
295,875.34,1314.99,1721
296,875.61,1318.56,1733
297,875.89,1322.13,1733
298,876.16,1325.69,1725
299,876.43,1329.25,1721
300,876.71,1332.81,1704
301,876.98,1336.37,1706
302,877.26,1339.92,1714
303,877.53,1343.47,1725
304,877.8,1347.02,1725
305,878.08,1350.57,1729
306,878.35,1354.11,1754
307,878.62,1357.65,1735
308,878.9,1361.19,1740
309,879.17,1364.73,1727
310,879.44,1368.27,1748
311,879.72,1371.8,1725
312,879.99,1375.33,1723
313,880.26,1378.86,1719
314,880.54,1382.38,1727
315,880.81,1385.91,1742
316,881.08,1389.43,1733
317,881.35,1392.94,1714
318,881.63,1396.46,1719
319,881.9,1399.97,1723
320,882.17,1403.49,1714
321,882.45,1406.99,1716
322,882.72,1410.5,1701
323,882.99,1414,1737
324,883.27,1417.51,1744
325,883.54,1421.01,1752
326,883.81,1424.5,1737
327,884.09,1428,1731
328,884.36,1431.49,1738
329,884.63,1434.98,1727
330,884.91,1438.47,1738
331,885.18,1441.95,1723
332,885.45,1445.43,1723
333,885.72,1448.92,1761
334,886,1452.39,1712
335,886.27,1455.87,1731
336,886.54,1459.34,1742
337,886.82,1462.81,1716
338,887.09,1466.28,1710
339,887.36,1469.75,1733
340,887.63,1473.21,1731
341,887.91,1476.67,1723
342,888.18,1480.13,1750
