ENLIGHTEN Version,4.1.6
Measurement ID,,,20250528-100245-792093-WP-02208,20250528-100407-709362-WP-02208,20250528-100442-099370-WP-02208
Serial Number,,,WP-02208,WP-02208,WP-02208
Model,,,WP-785X-F13-C-ILC,WP-785X-F13-C-ILC,WP-785X-F13-C-ILC
Detector,,,S7031-1006,S7031-1006,S7031-1006
Label,,,10_02_45 WP-02208,10_04_07 WP-02208,10_04_42 WP-02208
Declared Match,,,,,
Declared Score,,,0,0,0
Scan Averaging,,,1,1,1
Boxcar,,,0,0,0
Technique,,,Raman,Raman,Raman
Baseline Correction Algo,,,,,
ROI Pixel Start,,,22,22,22
ROI Pixel End,,,1023,1023,1023
ROI Vertical Pixel Start,,,0,0,0
ROI Vertical Pixel End,,,63,63,63
CCD C4,,,1.0367481179107685e-11,1.0367481179107685e-11,1.0367481179107685e-11
Slit Width,,,25,25,25
Cropped,,,True,True,True
Interpolated,,,False,False,False
Wavenumber Correction,,,0,0,0
Raman Intensity Corrected,,,False,False,False
Deconvolved,,,False,False,False
Region,,,,,
High Gain Mode,,,False,False,False
Laser Power mW,,,450.0,450.0,450.0
Electrical Dark Correction,,,False,False,False
Battery %,,,,,
Device ID,,,<DeviceID USB USB:0x24aa:0x1000:0:1>,<DeviceID USB USB:0x24aa:0x1000:0:1>,<DeviceID USB USB:0x24aa:0x1000:0:1>
FW Version,,,10.0.0.10,10.0.0.10,10.0.0.10
FPGA Version,,,030-107,030-107,030-107
Prefix,,,enlighten,enlighten,enlighten
Suffix,,,,,
Preset,,,,,
Session Count,,,55,83,95
Plugin Name,,,,,
Integration Time,,,2000,3000,3000
Timestamp,,,2025-05-28 10:02:45.792093,2025-05-28 10:04:07.709362,2025-05-28 10:04:42.099370
Note,,,,,
Temperature,,,-14.94515547787887,-14.633395846716667,-14.633395846716667
CCD C0,,,795.3506469726562,795.3506469726562,795.3506469726562
CCD C1,,,0.26477178931236267,0.26477178931236267,0.26477178931236267
CCD C2,,,3.6257155443308875e-05,3.6257155443308875e-05,3.6257155443308875e-05
CCD C3,,,-5.2634717917499074e-08,-5.2634717917499074e-08,-5.2634717917499074e-08
CCD Offset,,,0,0,0
CCD Gain,,,1.9,1.9,1.9
CCD Offset Odd,,,0,0,0
CCD Gain Odd,,,1.9,1.9,1.9
Laser Wavelength,,,784.984,784.984,784.984
Laser Enable,,,True,True,True
Laser Power %,,,99.803746337554,99.803746337554,99.803746337554
Laser Temperature,,,-95.6635622537485,-95.6635622537485,-95.6635622537485
Pixel Count,,,1024,1024,1024

WP-02208,,,10_02_45 WP-02208,10_04_07 WP-02208,10_04_42 WP-02208
Pixel,Wavelength,Wavenumber,Processed,Processed,Processed
0,795.35,166.04,NA,NA,NA
1,795.62,170.23,NA,NA,NA
2,795.88,174.41,NA,NA,NA
3,796.15,178.59,NA,NA,NA
4,796.41,182.77,NA,NA,NA
5,796.68,186.95,NA,NA,NA
6,796.94,191.13,NA,NA,NA
7,797.21,195.30,NA,NA,NA
8,797.47,199.47,NA,NA,NA
9,797.74,203.65,NA,NA,NA
10,798.00,207.82,NA,NA,NA
11,798.27,211.98,NA,NA,NA
12,798.53,216.15,NA,NA,NA
13,798.80,220.31,NA,NA,NA
14,799.06,224.48,NA,NA,NA
15,799.33,228.64,NA,NA,NA
16,799.60,232.80,NA,NA,NA
17,799.86,236.96,NA,NA,NA
18,800.13,241.11,NA,NA,NA
19,800.39,245.27,NA,NA,NA
20,800.66,249.42,NA,NA,NA
21,800.93,253.57,NA,NA,NA
22,801.19,257.72,1186.00,1936.00,1862.00
23,801.46,261.87,1205.00,1947.00,1888.00
24,801.73,266.01,1209.00,1932.00,1900.00
25,801.99,270.16,1205.00,1962.00,1906.00
26,802.26,274.30,1222.00,1974.00,1938.00
27,802.52,278.44,1188.00,2004.00,1934.00
28,802.79,282.58,1226.00,1972.00,1945.00
29,803.06,286.72,1216.00,2012.00,1962.00
30,803.33,290.85,1222.00,2023.00,1972.00
31,803.59,294.99,1215.00,2012.00,1964.00
32,803.86,299.12,1232.00,2054.00,1983.00
33,804.13,303.25,1235.00,2073.00,2006.00
34,804.39,307.37,1232.00,2073.00,2018.00
35,804.66,311.50,1241.00,2074.00,2018.00
36,804.93,315.63,1243.00,2092.00,2019.00
37,805.19,319.75,1247.00,2101.00,2050.00
38,805.46,323.87,1266.00,2111.00,2042.00
39,805.73,327.99,1252.00,2122.00,2076.00
40,806.00,332.11,1251.00,2114.00,2052.00
41,806.26,336.22,1275.00,2147.00,2073.00
42,806.53,340.34,1289.00,2147.00,2103.00
43,806.80,344.45,1289.00,2147.00,2109.00
44,807.07,348.56,1283.00,2149.00,2133.00
45,807.33,352.67,1289.00,2179.00,2112.00
46,807.60,356.77,1296.00,2185.00,2111.00
47,807.87,360.88,1296.00,2200.00,2116.00
48,808.14,364.98,1292.00,2224.00,2149.00
49,808.41,369.08,1298.00,2226.00,2150.00
50,808.67,373.18,1315.00,2234.00,2160.00
51,808.94,377.28,1311.00,2249.00,2198.00
52,809.21,381.37,1306.00,2236.00,2187.00
53,809.48,385.47,1321.00,2243.00,2200.00
54,809.75,389.56,1311.00,2259.00,2185.00
55,810.01,393.65,1309.00,2283.00,2213.00
56,810.28,397.74,1321.00,2287.00,2209.00
57,810.55,401.82,1317.00,2304.00,2223.00
58,810.82,405.91,1319.00,2276.00,2215.00
59,811.09,409.99,1308.00,2285.00,2221.00
60,811.36,414.07,1344.00,2325.00,2242.00
61,811.62,418.15,1313.00,2297.00,2257.00
62,811.89,422.23,1315.00,2319.00,2249.00
63,812.16,426.30,1340.00,2310.00,2243.00
64,812.43,430.37,1321.00,2323.00,2268.00
65,812.70,434.45,1334.00,2327.00,2270.00
66,812.97,438.51,1325.00,2329.00,2278.00
67,813.24,442.58,1351.00,2304.00,2240.00
68,813.51,446.65,1325.00,2344.00,2270.00
69,813.78,450.71,1325.00,2359.00,2270.00
70,814.04,454.77,1334.00,2316.00,2245.00
71,814.31,458.83,1321.00,2333.00,2262.00
72,814.58,462.89,1327.00,2310.00,2247.00
73,814.85,466.95,1328.00,2293.00,2238.00
74,815.12,471.00,1330.00,2302.00,2255.00
75,815.39,475.05,1345.00,2312.00,2261.00
76,815.66,479.10,1340.00,2297.00,2249.00
77,815.93,483.15,1327.00,2319.00,2266.00
78,816.20,487.20,1344.00,2346.00,2262.00
79,816.47,491.24,1347.00,2325.00,2272.00
80,816.74,495.28,1328.00,2310.00,2253.00
81,817.01,499.32,1311.00,2266.00,2205.00
82,817.28,503.36,1309.00,2243.00,2177.00
83,817.55,507.40,1317.00,2211.00,2145.00
84,817.82,511.43,1285.00,2183.00,2111.00
85,818.09,515.47,1292.00,2149.00,2076.00
86,818.36,519.50,1287.00,2149.00,2063.00
87,818.63,523.52,1254.00,2135.00,2052.00
88,818.90,527.55,1273.00,2107.00,2054.00
89,819.17,531.58,1262.00,2095.00,2040.00
90,819.44,535.60,1268.00,2099.00,2027.00
91,819.71,539.62,1266.00,2076.00,2040.00
92,819.98,543.64,1268.00,2082.00,2000.00
93,820.25,547.66,1258.00,2101.00,2031.00
94,820.52,551.67,1275.00,2074.00,2019.00
95,820.79,555.68,1266.00,2101.00,2016.00
96,821.06,559.69,1258.00,2111.00,2012.00
97,821.33,563.70,1251.00,2088.00,2010.00
98,821.60,567.71,1266.00,2088.00,2004.00
99,821.87,571.71,1258.00,2082.00,2016.00
100,822.14,575.72,1271.00,2090.00,2038.00
101,822.41,579.72,1271.00,2078.00,2018.00
102,822.68,583.72,1266.00,2092.00,2027.00
103,822.95,587.71,1271.00,2076.00,2033.00
104,823.22,591.71,1266.00,2118.00,2031.00
105,823.49,595.70,1275.00,2112.00,2025.00
106,823.76,599.69,1262.00,2112.00,2046.00
107,824.03,603.68,1287.00,2124.00,2040.00
108,824.30,607.67,1275.00,2118.00,2056.00
109,824.57,611.65,1270.00,2107.00,2063.00
110,824.85,615.63,1271.00,2109.00,2035.00
111,825.12,619.61,1279.00,2116.00,2025.00
112,825.39,623.59,1264.00,2086.00,2014.00
113,825.66,627.57,1268.00,2099.00,2002.00
114,825.93,631.54,1268.00,2084.00,2027.00
115,826.20,635.52,1258.00,2105.00,2023.00
116,826.47,639.49,1270.00,2086.00,2006.00
117,826.74,643.45,1264.00,2078.00,2021.00
118,827.01,647.42,1264.00,2078.00,2012.00
119,827.29,651.38,1277.00,2103.00,2004.00
120,827.56,655.35,1270.00,2107.00,2023.00
121,827.83,659.31,1247.00,2105.00,2019.00
122,828.10,663.26,1258.00,2116.00,2016.00
123,828.37,667.22,1266.00,2107.00,2012.00
124,828.64,671.17,1273.00,2088.00,2012.00
125,828.91,675.13,1271.00,2086.00,2019.00
126,829.18,679.08,1268.00,2118.00,2050.00
127,829.46,683.02,1283.00,2114.00,2044.00
128,829.73,686.97,1281.00,2124.00,2044.00
129,830.00,690.91,1271.00,2109.00,2061.00
130,830.27,694.85,1270.00,2109.00,2050.00
131,830.54,698.79,1266.00,2109.00,2059.00
132,830.81,702.73,1270.00,2107.00,2042.00
133,831.09,706.66,1273.00,2112.00,2037.00
134,831.36,710.60,1279.00,2128.00,2054.00
135,831.63,714.53,1281.00,2126.00,2042.00
136,831.90,718.46,1279.00,2139.00,2038.00
137,832.17,722.38,1279.00,2105.00,2046.00
138,832.45,726.31,1290.00,2114.00,2056.00
139,832.72,730.23,1273.00,2111.00,2061.00
140,832.99,734.15,1279.00,2139.00,2040.00
141,833.26,738.07,1281.00,2139.00,2076.00
142,833.53,741.99,1273.00,2139.00,2050.00
143,833.80,745.90,1285.00,2154.00,2080.00
144,834.08,749.81,1275.00,2154.00,2069.00
145,834.35,753.72,1292.00,2150.00,2078.00
146,834.62,757.63,1290.00,2156.00,2080.00
147,834.89,761.53,1292.00,2149.00,2076.00
148,835.17,765.44,1289.00,2158.00,2076.00
149,835.44,769.34,1292.00,2166.00,2097.00
150,835.71,773.24,1298.00,2183.00,2097.00
151,835.98,777.13,1304.00,2190.00,2103.00
